"incident_date","incident_number","cad_number","alarm_date_time","unit_clear_date_time","street_address","apt_suite_number","neighborhood","incident_type_id","incident_type_desc","alarms","suppression_app_count","suppression_per_count","ems_app_count","ems_per_count","other_app_count","other_per_count","incident_closed","Location"
2010-12-31,217,10365217,2010-12-31 23:59:00,2011-01-01 00:17:00,"575 BLAIR AV","","AVONDALE  ",445,"Arcing, shorted electrical equipment",0,1,4,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-31,214,10365214,2010-12-31 23:35:00,2010-12-31 23:46:00,"3117 TROY AV","","PLEASANT R",160,"Special outside fire, other",0,1,4,0,NA,0,0,1,"CINC 45213
(39.18204926000004, -84.42030794299995)"
2010-12-31,210,10365210,2010-12-31 23:19:00,2010-12-31 23:28:00,"136 WENTWORTH AV","","CLIFTON   ",651,"Smoke scare, odor of smoke",0,1,4,0,NA,0,0,1,"CINC 45220
(39.143209256000034, -84.52157698599996)"
2010-12-31,207,10365207,2010-12-31 23:11:00,2010-12-31 23:20:00,"13 15TH ST","597","OVER-THE-R",511,"Lock-out",0,1,4,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-31,202,10365202,2010-12-31 22:37:00,2010-12-31 22:49:00,"1223 REPUBLIC ST","","OVER-THE-R",331,"Lock-in (if lock out , use 511 )",0,1,4,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-31,194,10365194,2010-12-31 21:55:00,2010-12-31 22:00:00,"141 SIXTH ST","","C. B. D. /",600,"Good intent call, other",0,2,8,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-31,192,10365192,2010-12-31 21:44:00,2010-12-31 21:59:00,"0 FERGUSON RD","","WESTWOOD  ",442,"Overheated motor",0,1,4,0,NA,0,0,1,"CINC 45211
(39.152816063000046, -84.60056918599997)"
2010-12-31,189,10365189,2010-12-31 21:28:00,2010-12-31 21:48:00,"400 9TH ST","","WEST  END ",744,"Detector activation, no fire - unintentional",0,1,4,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-31,173,10365173,2010-12-31 20:16:00,2010-12-31 20:25:00,"2640 STANTON AV","5","WALNUT HIL",445,"Arcing, shorted electrical equipment",0,1,4,0,NA,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
2010-12-31,164,10365164,2010-12-31 19:51:00,2010-12-31 20:20:00,"2610 PARK AV","","WALNUT HIL",651,"Smoke scare, odor of smoke",0,1,4,0,NA,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
2010-12-31,147,10365147,2010-12-31 17:57:00,2010-12-31 18:13:00,"1999 SUTTER AV","","ENGLISH  W",651,"Smoke scare, odor of smoke",0,1,4,0,NA,0,0,1,"CINC 45225
(39.14027637700008, -84.54955882199994)"
2010-12-31,144,10365144,2010-12-31 17:50:00,2010-12-31 19:07:00,"0 GALBRAITH RD","","HARTWELL  ",322,"Motor vehicle accident with injuries",0,3,9,1,2,0,0,1,"CINC 45216
(39.19856897100004, -84.47975630799993)"
2010-12-31,141,10365141,2010-12-31 17:31:00,2010-12-31 17:38:00,"802 ACADEMY AV","","WEST PRICE",118,"Trash or rubbish fire, contained",0,1,4,0,NA,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
2010-12-31,140,10365140,2010-12-31 17:23:00,2010-12-31 17:45:00,"3221 DAYTONA AV","","WESTWOOD  ",911,"Citizen complaint",0,1,4,0,NA,0,0,1,"CINC 45030
(39.25684853000007, -84.78419780899998)"
2010-12-31,138,10365138,2010-12-31 17:00:00,2010-12-31 17:12:00,"303 BROADWAY ST","","C. B. D. /",740,"Unintentional transmission of alarm, other",0,1,4,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-31,136,10365136,2010-12-31 16:36:00,2010-12-31 16:50:00,"861 BEECHER ST","302","WALNUT HIL",522,"Water or steam leak",0,1,4,0,NA,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
2010-12-31,130,10365130,2010-12-31 16:03:00,2010-12-31 16:17:00,"227 RENNER ST","","OVER-THE-R",118,"Trash or rubbish fire, contained",0,1,4,0,NA,0,0,1,"CINC 45214
(39.12068909300007, -84.53739715099994)"
2010-12-31,128,10365128,2010-12-31 15:46:00,2010-12-31 19:18:00,"243 HEARNE AV","","AVONDALE  ",111,"Fire - Building",1,11,31,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-31,126,10365126,2010-12-31 15:24:00,2010-12-31 15:35:00,"7027 VINE ST","220","CARTHAGE  ",743,"Smoke detector activation, no fire - unintentional",0,1,4,0,NA,0,0,1,"CINC 45216
(39.19856897100004, -84.47975630799993)"
2010-12-31,119,10365119,2010-12-31 14:46:00,2010-12-31 15:09:00,"835 POPLAR ST","1006","WEST  END ",113,"Cooking fire, confined to container",0,11,37,0,NA,0,0,1,"CINC 45214
(39.12068909300007, -84.53739715099994)"
2010-12-31,115,10365115,2010-12-31 14:31:00,2010-12-31 16:33:00,"21 WALLACE ","","",721,"Bomb scare - no bomb",0,2,5,0,NA,0,0,1,"florence 41042
(38.98757984900004, -84.64903772299994)"
2010-12-31,113,10365113,2010-12-31 14:15:00,2010-12-31 14:33:00,"3977 LOWRY AV","1","NORTH AVON",444,"Power line down",0,1,4,0,NA,0,0,1,"CINC 45237
(39.19171689800004, -84.45486811699999)"
2010-12-31,111,10365111,2010-12-31 14:14:00,2010-12-31 14:37:00,"5816 CHANDLER ST","","MADISONVIL",113,"Cooking fire, confined to container",0,1,4,0,NA,0,0,1,"CINC 45227
(39.15418908500004, -84.38997980499994)"
2010-12-31,106,10365106,2010-12-31 13:49:00,2010-12-31 14:13:00,"6124 CONOVER ST","1","MADISONVIL",131,"Passenger vehicle fire",0,1,4,0,NA,0,0,1,"CINC 45227
(39.15418908500004, -84.38997980499994)"
2010-12-31,105,10365105,2010-12-31 13:46:00,2010-12-31 13:53:00,"400 9TH ST","","WEST  END ",600,"Good intent call, other",0,2,8,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-31,103,10365103,2010-12-31 13:41:00,2010-12-31 14:03:00,"1564 REID AV","","COLLEGE  H",600,"Good intent call, other",0,1,4,0,NA,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
2010-12-31,81,10365081,2010-12-31 11:44:00,2010-12-31 11:51:00,"3136 MADISON RD","","OAKLEY    ",350,"Extrication, rescue, other",0,1,4,0,0,0,0,1,"CINC 45209
(39.15225990300007, -84.42664730599995)"
2010-12-31,66,10365066,2010-12-31 10:01:00,2010-12-31 10:19:00,"301 4TH ST","","C. B. D. /",740,"Unintentional transmission of alarm, other",0,1,4,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-31,63,10365063,2010-12-31 09:35:00,2010-12-31 09:42:00,"1767 ESMONDE ST","","SOUTH  FAI",733,"Smoke detector activation due to malfunction",0,1,4,0,NA,0,0,1,"CINC 45214
(39.12068909300007, -84.53739715099994)"
2010-12-31,57,10365057,2010-12-31 09:23:00,2010-12-31 09:36:00,"3152 EVERGREEN AV","","WESTWOOD  ",520,"Water problem, other",0,1,4,0,NA,0,0,1,"CINC 45211
(39.152816063000046, -84.60056918599997)"
2010-12-31,49,10365049,2010-12-31 08:41:00,2010-12-31 08:52:00,"655 MCMICKEN AV","","OVER-THE-R",522,"Water or steam leak",0,1,4,0,NA,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
2010-12-31,47,10365047,2010-12-31 08:33:00,2010-12-31 09:01:00,"5228 RIVER RD","","RIVERSIDE ",745,"Alarm system activation, no fire - unintentional",0,1,4,0,NA,0,0,1,"CINC 45233
(39.117439029000025, -84.66619614899997)"
